Reference,Article,Categorie,Conditionnement,Stocker_ici_ON,Conso_Hebdo_Estimee,Niveau_Min,Niveau_Cible,Commentaire
INV-001471,Madelaine Foureé 6u c/120ps,Café / Biscuits & Gâteaux,c/120ps,O,,,,
INV-001472,Roule Foureé c/36,Café / Biscuits & Gâteaux,c/36,O,,,,
INV-001509,petite Beurre C/12,Café / Biscuits & Gâteaux,C/12,O,,,,
INV-001447,CANDIA CHOCOLAT 20CL F/18,Café / Boissons,F/18,O,,,,
INV-001458,"Eau GUIDILA 0,5L F/12",Café / Boissons,F/12,O,,,,
INV-001459,"Eau GUIDILA 1,5L F/6",Café / Boissons,F/6,O,,,,
INV-001462,"Eau Lala Khedidja 0,5 CL F/12",Café / Boissons,F/12,O,,,,
INV-001461,"Eau Lala Khedidja 1,5 L /6",Café / Boissons,,O,,,,
INV-001460,Eau NEW 1L /6 LLK,Café / Boissons,,O,,,,
INV-001451,Hamoud Canette 24CL F/24,Café / Boissons,F/24,O,,,,
INV-001452,Hamoud PET 33 CL F/12,Café / Boissons,F/12,O,,,,
INV-001463,"IFRI VICHY 0,33CL F/12",Café / Boissons,F/12,O,,,,
INV-001464,"IFRI VICHY CITRON 0,33CL F/13",Café / Boissons,F/13,O,,,,
INV-001446,JUS BIFA 125ML F/48,Café / Boissons,F/48,O,,,,
INV-001455,JUS IFRUIT 33CL F/12,Café / Boissons,F/12,O,,,,
INV-001453,JUS TCHINA 2L F/6,Café / Boissons,F/6,O,,,,
INV-001454,Jus Waniss 1L F/6,Café / Boissons,F/6,O,,,,
INV-001456,NGAOUAS 33CL F/12,Café / Boissons,F/12,O,,,,
INV-001457,ORANGINA 33CL F/12,Café / Boissons,F/12,O,,,,
INV-001450,Schweppes Canette 14 CL F/24,Café / Boissons,F/24,O,,,,
INV-001449,Schweppes PET 33CL F/12,Café / Boissons,F/12,O,,,,
INV-001448,jus rouiba 20cl f/30,Café / Boissons,f/30,O,,,,
INV-001499,CHOCOLAT TARTINER EL MORDJANE 700g f/6,Café / Chocolat,f/6,O,,,,
INV-001501,CHOCOLAT TARTINER EL MORDJANE B/ 12kg,Café / Chocolat,B/ 12kg,O,,,,
INV-001502,CHOCOLAT TARTINER EL MORDJANE noisette B/12,Café / Chocolat,B/12,O,,,,
INV-001500,CHOCOLAT TARTINER EL MORDJANE noisette700g f/6,Café / Chocolat,f/6,O,,,,
INV-001496,chocolat au lait DADA 240g,Café / Chocolat,,O,,,,
INV-001498,chocolat blanc DADA 240g,Café / Chocolat,,O,,,,
INV-001494,chocolat blanc Embassadeur c/25,Café / Chocolat,c/25,O,,,,
INV-001497,chocolat noir DADA 240g,Café / Chocolat,,O,,,,
INV-001493,chocolat noir Embassadeur c/25,Café / Chocolat,c/25,O,,,,
INV-001495,chocolat noisette DADA 240g,Café / Chocolat,,O,,,,
INV-001484,Amidon de mais sac 1kg,Café / Divers,,O,,,,
