Reference,Article,Categorie,Conditionnement,Stocker_ici_ON,Conso_Hebdo_Estimee,Niveau_Min,Niveau_Cible,Commentaire
INV-001618,AGENDA JOURNALIER COUSU HEX/ITAL,Copy / Articles Bureautique,,O,,,,
INV-001637,AGRAFEUSE BUREAU METAL 90 MM 44074 FABS,Copy / Articles Bureautique,,O,,,,
INV-001521,AGRAFEUSE TRENDY-45M KAN,Copy / Articles Bureautique,,O,,,,
INV-001553,AUTOCOLLANT 100F A4 MAT 2310 BO /IMP FERH,Copy / Articles Bureautique,,O,,,,
INV-001631,AUTOCOLLANT 20F N°2-2 6142 GALAXIE,Copy / Articles Bureautique,,O,,,,
INV-001576,AUTOCOLLANT A4 20 F MAT 6134 GAL,Copy / Articles Bureautique,,O,,,,
INV-001646,BLOC NOTES A4 SP 21*29.7 ABS,Copy / Articles Bureautique,,O,,,,
INV-001647,BLOC NOTES A5 SP 50F ABS,Copy / Articles Bureautique,,O,,,,
INV-001589,BON DE REÇU LUXE 03-21,Copy / Articles Bureautique,,O,,,,
INV-001545,CAHIER 120P 70GRS CT90 / 80 HILAL,Copy / Articles Bureautique,CT90,O,,,,
INV-001544,CAHIER 120P SP C90 HILAL,Copy / Articles Bureautique,,O,,,,
INV-001645,CAHIER 192P PF CC EMB 66 RAY,Copy / Articles Bureautique,,O,,,,
INV-001627,CAHIER 288P CC C40 HILAL,Copy / Articles Bureautique,,O,,,,
INV-001642,CAHIER 3 EN 1 A4 IM 25-12 MER,Copy / Articles Bureautique,,O,,,,
INV-001643,CAHIER 3 EN 1 A5 IM 25-02 MER,Copy / Articles Bureautique,,O,,,,
INV-001628,CAHIER 48P 70GRS CT180 HILAL,Copy / Articles Bureautique,CT180,O,,,,
INV-001534,CAHIER 5 EN 1 250P 5X5 A5 IM 25-04,Copy / Articles Bureautique,,O,,,,
INV-001610,CAHIER 5 EN 1 A4 IM24-04 / 0024 KING,Copy / Articles Bureautique,,O,,,,
INV-001535,CAHIER 6 EN 1 A5 IM 25-05 MER,Copy / Articles Bureautique,,O,,,,
INV-001547,CAHIER 64P ITAL /MOUJ /COQ,Copy / Articles Bureautique,,O,,,,
INV-001548,CAHIER 96P 70GRS CT100/ 96 HILAL,Copy / Articles Bureautique,CT100,O,,,,
INV-001620,CAISSE MONNAIE SAX 810-09- 03 - 04,Copy / Articles Bureautique,,O,,,,
INV-001529,CALCUL SCIENTIFIQUE KAJIB 552F 991ES,Copy / Articles Bureautique,,O,,,,
INV-001568,CHEMISE A RABAT PVC 4163,Copy / Articles Bureautique,,O,,,,
INV-001575,"CLASSEUR PERSO 50MM ""02"" 500F 06450 CV",Copy / Articles Bureautique,,O,,,,
INV-001546,CORRECTEUR STYLO 07ML BT12 3631 TECHNO,Copy / Articles Bureautique,BT12,O,,,,
INV-001574,CORRECTEUR STYLO 07ML BT24 7004 TECHNO,Copy / Articles Bureautique,BT24,O,,,,
INV-001605,CRAIE BLANCHE DE 10 VS-0980 VERTEX,Copy / Articles Bureautique,,O,,,,
INV-001638,CRAYON NOIR HB BT12 EV 1508 EVEREST,Copy / Articles Bureautique,BT12,O,,,,
INV-001632,CRAYON NOIR HB2 851759 POT 72 MAPED,Copy / Articles Bureautique,,O,,,,
INV-001634,DOSSIER SUSPENDU TIROIR CTN 25 CV 2020,Copy / Articles Bureautique,,O,,,,
INV-001652,DOSSIER SUSPENDU TIROIR PVC CV 0282 /FABS,Copy / Articles Bureautique,,O,,,,
INV-001554,ENV (F15255) FEN .ADH PAQ50 (110 X 220),Copy / Articles Bureautique,PAQ50,O,,,,
INV-001591,ENV (F16715) POCH. BLANCHE ADH P50 (162 X 229),Copy / Articles Bureautique,,O,,,,
INV-001590,ENV (F16735) POCH. KR.ADH.PQ50 (162 X 229),Copy / Articles Bureautique,PQ50,O,,,,
INV-001569,ENV (F23715) POCH. BLANCHE ADH 229X324 P50,Copy / Articles Bureautique,,O,,,,
INV-001617,ENV (F26735) POCH. KR.ADH PQ50 (280 X 365),Copy / Articles Bureautique,PQ50,O,,,,
INV-001654,FEUILLE EXAMEN A3 ARABE 1000F,Copy / Articles Bureautique,,O,,,,
INV-001572,FEUILLE EXAMEN HIS,Copy / Articles Bureautique,,O,,,,
INV-001615,FIL BADGE 1.5 BLEU PL2566,Copy / Articles Bureautique,,O,,,,
INV-001614,FIL BADGE 1.5 CM CROCHET PLASTIQUE BLEU,Copy / Articles Bureautique,,O,,,,
INV-001570,FIL BADGE YOUYOU BLEU 90815B,Copy / Articles Bureautique,,O,,,,
INV-001540,FLASH DISQUE 16 GB METAL HP REF 285,Copy / Articles Bureautique,,O,,,,
INV-001539,FLASH DISQUE 8 GB ADATA,Copy / Articles Bureautique,,O,,,,
INV-001613,FLUORESCENT NOIR PRESENTOIRE 36 EV 4023 EVEREST,Copy / Articles Bureautique,,O,,,,
INV-001522,FLUORESCENT PRESENTOIRE DE 36 EVEREST EV 4013,Copy / Articles Bureautique,,O,,,,
INV-001636,GOMME BLANCHE MINI 011300 BT 36 MAPED,Copy / Articles Bureautique,BT 36,O,,,,
INV-001584,GOMME VS1503 BT20 VERTEX,Copy / Articles Bureautique,BT20,O,,,,
INV-001542,MARQUEUR CRAIE ED 4095 ROUGE,Copy / Articles Bureautique,,O,,,,
INV-001543,MARQUEUR CRAIE ED 4095 VERT,Copy / Articles Bureautique,,O,,,,
INV-001623,MARQUEUR PERM T/COUP 4880 BLEU TECHNO,Copy / Articles Bureautique,,O,,,,
INV-001624,MARQUEUR PERM T/COUP 4881 NOIR TECHNO,Copy / Articles Bureautique,,O,,,,
INV-001562,MARQUEUR PERMANENT TOUTES SURFACE BLANC TECHNO T4518,Copy / Articles Bureautique,,O,,,,
INV-001564,MARQUEUR PERMANENT TOUTES SURFACE JAUNE TECHNO T4522,Copy / Articles Bureautique,,O,,,,
INV-001565,MARQUEUR PERMANENT TOUTES SURFACE NOIR TECHNO T4520,Copy / Articles Bureautique,,O,,,,
INV-001566,MARQUEUR PERMANENT TOUTES SURFACE ROUGE TECHNO 4521,Copy / Articles Bureautique,,O,,,,
INV-001563,MARQUEUR PERMANENT TOUTES SURFACES ARGENTE 3529,Copy / Articles Bureautique,,O,,,,
INV-001644,NOTE BOOK 192P PF GC ELAST C40 / C44 RAY,Copy / Articles Bureautique,,O,,,,
INV-001558,NOTE BOOK 300P 5X5 GF HILLAL(CTN16 / 14),Copy / Articles Bureautique,,O,,,,
INV-001528,NOTE BOOK A4 SP 70 F 152985 ABS/ 1152,Copy / Articles Bureautique,,O,,,,
