Reference,Article,Categorie,Conditionnement,Stocker_ici_ON,Conso_Hebdo_Estimee,Niveau_Min,Niveau_Cible,Commentaire
INV-001375,Amande 1kg,Restaurant / Alimentations,,O,,,,
INV-001376,Amande Blanche 1kg,Restaurant / Alimentations,,O,,,,
INV-001377,Amande Effilée 1kg,Restaurant / Alimentations,,O,,,,
INV-001353,Ananas Tranches golden land820g F/12,Restaurant / Alimentations,F/12,O,,,,
INV-001389,BECARBONATTE SODA 1Kg EL FARES,Restaurant / Alimentations,,O,,,,
INV-001358,BEURRE STAR 200G C/20,Restaurant / Alimentations,C/20,O,,,,
INV-001374,Cacahuete BLANC1Kg,Restaurant / Alimentations,,O,,,,
INV-001438,Camembert Zakkar 120 G,Restaurant / Alimentations,,O,,,,
INV-001436,Camembert Zakkar 250 G,Restaurant / Alimentations,,O,,,,
INV-001437,Camembert Zakkar 350 G,Restaurant / Alimentations,,O,,,,
INV-001340,"Champignon HARA 2,4Kg F/6",Restaurant / Alimentations,F/6,O,,,,
INV-001328,Cornicho B/3kg,Restaurant / Alimentations,B/3kg,O,,,,
INV-001315,Couscous Taami Sim MOYEN 1Kg C/12kg,Restaurant / Alimentations,C/12kg,O,,,,
INV-001428,Créme Fraiche COCINA 35% 1L F/4L,Restaurant / Alimentations,F/4L,O,,,,
INV-001425,Créme Fraiche Fondélice 900 ml,Restaurant / Alimentations,,O,,,,
INV-001426,Créme Fraiche Le Maitre 1L f/6,Restaurant / Alimentations,f/6,O,,,,
INV-001427,"Créme Fraiche Le maitre 0,5L f/12",Restaurant / Alimentations,f/12,O,,,,
INV-001390,DIOULE EL AILA C/10*80,Restaurant / Alimentations,C/10,O,,,,
INV-001383,Eau De Fleur PET 720ml casbah f/12,Restaurant / Alimentations,f/12,O,,,,
INV-001327,Echalote B/3kg,Restaurant / Alimentations,B/3kg,O,,,,
INV-001365,Farine MAMA 25KG,Restaurant / Alimentations,,O,,,,
INV-001366,Farine MAMA T451kg,Restaurant / Alimentations,,O,,,,
INV-001364,Farine Sim 1kg F/9,Restaurant / Alimentations,F/9,O,,,,
INV-001372,Frick EZZAD 800Kg C/10PS,Restaurant / Alimentations,C/10PS,O,,,,
INV-001430,"Fromage CHEEZY 1,5g",Restaurant / Alimentations,,O,,,,
INV-001435,Fromage Cook Cheese 1KG,Restaurant / Alimentations,,O,,,,
INV-001432,"Fromage Fondu MONT DOR 1,8KG",Restaurant / Alimentations,,O,,,,
INV-001433,"Fromage Fondu MONT DOR 3,6KG",Restaurant / Alimentations,,O,,,,
INV-001434,Fromage RICOS 1KG,Restaurant / Alimentations,,O,,,,
INV-001429,Fromage Ramdy 600 g,Restaurant / Alimentations,,O,,,,
INV-001431,Fromage Sliece C/28 cheezy,Restaurant / Alimentations,C/28 cheezy,O,,,,
INV-001335,HIULE D'OLIVE VIERGE 1L F/6 VERRE,Restaurant / Alimentations,F/6 VERRE,O,,,,
INV-001334,HIULE D'OLIVE VIERGE 5L F/4,Restaurant / Alimentations,F/4,O,,,,
INV-001336,HIULE D'OLIVE VIERGE 75CL F/12,Restaurant / Alimentations,F/12,O,,,,
INV-001332,Hamiss B/ 2KG,Restaurant / Alimentations,B/ 2KG,O,,,,
INV-001345,Harissa Hara 760g C/12,Restaurant / Alimentations,C/12,O,,,,
INV-001346,Harissa Teloise 760 g C/12,Restaurant / Alimentations,C/12,O,,,,
INV-001354,Huil Elio 5L,Restaurant / Alimentations,,O,,,,
INV-001331,Huile D'olive 1L c/10,Restaurant / Alimentations,c/10,O,,,,
INV-001337,JAMBON POULET 1KG,Restaurant / Alimentations,,O,,,,
INV-001393,Jumbo 48 P,Restaurant / Alimentations,,O,,,,
INV-001351,Ketchup DAILY 1L F/9,Restaurant / Alimentations,F/9,O,,,,
INV-001419,LAIT SOUMAM F/6,Restaurant / Alimentations,F/6,O,,,,
INV-001339,LOUNCHON POULET,Restaurant / Alimentations,,O,,,,
INV-001418,Lait Candia 1L,Restaurant / Alimentations,,O,,,,
INV-001420,Lait Candia En Poudre 500g C/12,Restaurant / Alimentations,C/12,O,,,,
INV-001422,Lait LOVLY en poudre 10KG,Restaurant / Alimentations,,O,,,,
INV-001421,Lait milko spray en poudre 500g C/12,Restaurant / Alimentations,C/12,O,,,,
INV-001423,Lben Candia 1L,Restaurant / Alimentations,,O,,,,
INV-001368,Lentille Rouge 10Kg,Restaurant / Alimentations,,O,,,,
INV-001369,Lentille vert 10kg,Restaurant / Alimentations,,O,,,,
INV-001317,Les lasagnes,Restaurant / Alimentations,,O,,,,
INV-001387,Levure Chimique Nouara F/100,Restaurant / Alimentations,F/100,O,,,,
INV-001347,"Mais 2,4 kg hara F/6",Restaurant / Alimentations,F/6,O,,,,
INV-001357,Margarine DIMA 500g C/24,Restaurant / Alimentations,C/24,O,,,,
INV-001355,Margarine Fleurial PLAQ500g C/16,Restaurant / Alimentations,C/16,O,,,,
INV-001356,Margarine La belle 500 g C/24,Restaurant / Alimentations,C/24,O,,,,
INV-001439,Mascarpone 500G SO TACOS F/8,Restaurant / Alimentations,F/8,O,,,,
INV-001349,"Mayounnaise LESIEUR 2,5 kg",Restaurant / Alimentations,,O,,,,
INV-001348,Mayounnaise LESIEUR 710 gr F/12,Restaurant / Alimentations,F/12,O,,,,
INV-001350,Motard dijon 810gr F/6,Restaurant / Alimentations,F/6,O,,,,
INV-001381,Noisette 1Kg,Restaurant / Alimentations,,O,,,,
INV-001378,Noix 1kg,Restaurant / Alimentations,,O,,,,
INV-001379,Noix de cajou 1Kg,Restaurant / Alimentations,,O,,,,
