Chemin_Categorie_Complet,Branche,Eligible_Format_Variante
All,Racine,
All / Expenses,Expenses,
All / Formations (Services),Formations (Services),
All / Formations (Services) / Corporate,Formations (Services),
All / Formations (Services) / Corporate / Inter-Entreprise,Formations (Services),
All / Formations (Services) / Corporate / Intra-Entreprise,Formations (Services),
All / Formations (Services) / Evening & Weekend Class,Formations (Services),
All / Formations (Services) / Events,Formations (Services),
All / Formations (Services) / General Courses,Formations (Services),
All / Formations (Services) / HIS,Formations (Services),
All / Formations (Services) / HIS / Bachelor,Formations (Services),
All / Formations (Services) / HIS / Master,Formations (Services),
All / Formations (Services) / IRA,Formations (Services),
All / Formations (Services) / IRA / International Exams,Formations (Services),
All / Formations (Services) / IRA / One-to-One,Formations (Services),
All / Formations (Services) / IRA / One-to-Three,Formations (Services),
All / Formations (Services) / IRA / One-to-Two,Formations (Services),
All / Formations (Services) / IRA / Prep Year Program,Formations (Services),
All / PoS,PoS,
All / Retail & Consommables (Storable),Retail & Consommables,
All / Retail & Consommables (Storable) / Book,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Administratif,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Arabe,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Droit,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Français,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / General,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Histoire,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Informatique,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Livres En Anglais,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Memoires,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Religion,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Revus,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Science,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Science Economique,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Science Politique,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Science Psychologique,Retail & Consommables,
All / Retail & Consommables (Storable) / Book / Science de Communication,Retail & Consommables,
All / Retail & Consommables (Storable) / Café,Retail & Consommables,
All / Retail & Consommables (Storable) / Café / Biscuits & Gâteaux,Retail & Consommables,
All / Retail & Consommables (Storable) / Café / Boissons,Retail & Consommables,OUI
All / Retail & Consommables (Storable) / Café / Bonbons,Retail & Consommables,
All / Retail & Consommables (Storable) / Café / Chocolat,Retail & Consommables,
All / Retail & Consommables (Storable) / Café / Divers,Retail & Consommables,
All / Retail & Consommables (Storable) / Café / Emballage,Retail & Consommables,
All / Retail & Consommables (Storable) / Café / Snacks,Retail & Consommables,
All / Retail & Consommables (Storable) / Copy,Retail & Consommables,
All / Retail & Consommables (Storable) / Copy / Articles Bureautique,Retail & Consommables,
All / Retail & Consommables (Storable) / Copy / Flexy,Retail & Consommables,
All / Retail & Consommables (Storable) / Copy / Impression,Retail & Consommables,OUI
All / Retail & Consommables (Storable) / Copy / Photocopie,Retail & Consommables,OUI
All / Retail & Consommables (Storable) / Copy / Scan,Retail & Consommables,
All / Retail & Consommables (Storable) / Ménage & Nettoyage,Retail & Consommables,OUI
All / Retail & Consommables (Storable) / Restaurant,Retail & Consommables,
All / Retail & Consommables (Storable) / Restaurant / Alimentations,Retail & Consommables,OUI
All / Retail & Consommables (Storable) / Restaurant / Épices,Retail & Consommables,OUI
All / Retail & Consommables (Storable) / Restaurant / Fruits,Retail & Consommables,
All / Retail & Consommables (Storable) / Restaurant / Légumes,Retail & Consommables,
All / Retail & Consommables (Storable) / Restaurant / Viandes,Retail & Consommables,
