Designation,Code_Barres
A ??????,
A ????????,
A ??????,
Alluminium Caps Café Capsules,
Amandes,
Assiette Jetable GM,
Assiette Jetable PM,
B ??????,
B ????????,
B ??????,
Baklava (??????),
Baklava Cigarette,
Biscuit Amidam Petit Palmier,613255040014
Biscuit Bimo Chico,6130015060615
Biscuit Celebrity Blanc,6132175402137
Biscuit Celebrity Chocolat,6132175401598
Biscuit Flouka,
Biscuit Good Day Banane,6135712000988
Biscuit Good Day Choco,6135712000858
Biscuit Good Day Fraise,6135712000971
Biscuit Good Day Oreo,6135712001039
Biscuit Good Day Vanille,6135712000872
Biscuit Mini Tuc GM,6194008516046
Biscuit Mini Tuc PM,6132011101491
Biscuit Pipino pm,6132175403356
Biscuit Torta,6130619003384
Biscuits Besto Chocolat GM,6132175400812
Biscuits Besto Chocolat PM,6132175400720
Biscuits Besto Vanille MM,6132501548508
Biscuits Besto Vanille PM,6132501548942
Biscuits Gusti PM,6132501549437
Biscuits Kool GM,6133414001999
Biscuits Kool PM,6133414002002
Biscuits Maxon GM,6133414002552
Biscuits Maxon Loumja,6133414011585
Biscuits Maxon PM,6133414001708
Biscuits Milka Jaffa,
Biscuits Milka Waffer,7622210818553
Biscuits NutelLa au Chocolat,
Biscuits Qaada,6135129000205
Biscuits Regalo Digestif PM,6133414011622
Biscuits Regalo GM,6133414005355
Biscuits Regalo PM,6133414006000
Biscuits Rs Duo,6132175400355
Brava Chocolat Amandes Tablette,6132175401734
Brava Chocolat Blanche Bar,6132175401642
Brava Chocolat Noisette Tablette,6132175401321
Brava Chocolat Raisins Noisette Tablette,6132175401758
C ??????,
C ????????,
C ??????,
Cacahuetes Nutis Gm,6132376100191
Cacahuetes Nutis PM,6132271600048
Cacao (?????),
Cacao Fumé,
Cacao Pisto,
Café Poudre,
Caissette Gateau,
Candia Choco,6130433000354
Candia Choco 125 ML,6130433000583
Caps Café Capsules,
Carré Noir Dose,
Carte Noire Café Soluble Mousse,
Celebrity Brownie,6132175403653
Celebrity Fondant,6132175403820
Chewing Gum Action,
Chewing Gum Caprice Ment,6130742000533
Chewing Gum Cow-Boy,61302075
Chewing Gum Cow-Boy 12,
Chewing Gum Cow-Boy Fraise,61302051
Chewing Gum Flaura Blueberry,6136046000231
Chewing Gum Flaura Fraise,6136046000149
Chewing Gum Flaura Grenadine,
Chewing Gum Flaura Menthe Poivree,6136046000316
Chewing Gum Flaura Menthe Verte,6136046000163
Chewing Gum Flaura Watermelon,6136046000217
Chewing Gum Florida,6136360000016
Chewing Gum Freedent Blueberry,42189657
Chewing Gum Freedent Bubble Ment,
Chewing Gum Freedent Citron Poire,
Chewing Gum Freedent Eucalyptus,50173563
Chewing Gum Freedent Fraise,40099576
Chewing Gum Freedent Ment Givree,42154860
Chewing Gum Freedent Ment Vert,40099293
Chewing Gum Freedent Réglise,
Chewing Gum Freedent White Ment Vert,42113225
Chewing Gum Freedent White Blueberry,42247524
Chewing Gum Freedent White Bubble Ment,4009900485708
Chewing Gum Freedent White Cassice,
Chewing Gum Freedent White Citron Poire,42070474
Chewing Gum Freedent White Fraise,
Chewing Gum Freedent White Ment Douce,42069782
Chewing Gum Freedent White Ment Forte,42070399
Chewing Gum Freedent White Réglise,
Chewing Gum Holiday,6130185000138
Chewing Gum May,61302778
Chewing Gum May Chlorophylle,61302761
Chewing Gum May Fraise,61302785
Chewing Gum May Mojito,6130374000130
Chewing Gum Montos Mints,
Chewing gum Cow Boy 12,61302068
Chips Amayas,6136357000128
Chips Bugles Hot Dersa PM,6133079001280
Chips Bugles Natcho,6130336002356
Chips Bugles Natcho PM,6133079001297
Chips Bugles Original,6130336005012
Chips Bugles PM,
Chips Bugles Smoking BBQ GM,6130336002363
Chips Bugles steak PM,6133079001303
Chips Corn Bidon,
Chips Crunchy,6130336004213
Chips Dyna,6132052900015
Chips Extrem Harissa,6130336004671
