N,Section,Designation
1,Pates,spaghitti sim 500g C/10KG
2,Pates,Petit Coude N°4 sim C/10
3,Pates,Pate Rossort Sim C/10
4,Pates,Vermicelle Sim/500g C/20
5,Pates,Couscous Taami Sim MOYEN 1Kg C/12kg
6,Pates,Tagliatelle 450 g C/10
7,Pates,Les lasagnes
8,Agro alimentaire,cafe caps B/10 F/20
9,Agro alimentaire,cafe 1001 F/20
10,Agro alimentaire,"Olive Noire C/2,5kg"
11,Agro alimentaire,Olive Noire C/5kg
12,Agro alimentaire,Olive Violette B/3 kg
13,Agro alimentaire,"Olive Denoiyautee B/2,5kg"
14,Agro alimentaire,Olive Cassé Grillet B/4Kg
15,Agro alimentaire,"Olive Tranchee 2,5kg"
16,Agro alimentaire,Olive Tranchee 5kg
17,Agro alimentaire,Echalote B/3kg
18,Agro alimentaire,Cornicho B/3kg
19,Agro alimentaire,olive noire tranche b/2kg F/3
20,Agro alimentaire,olive noire 2kg f/3boites
21,Agro alimentaire,Huile D'olive 1L c/10
22,Agro alimentaire,Hamiss B/ 2KG
23,Agro alimentaire,PIMENT CONSTANTINE (MARKADE )B/2Kg
24,Agro alimentaire,HIULE D'OLIVE VIERGE 5L F/4
25,Agro alimentaire,HIULE D'OLIVE VIERGE 1L F/6 VERRE
26,Agro alimentaire,HIULE D'OLIVE VIERGE 75CL F/12
27,Agro alimentaire,JAMBON POULET 1KG
28,Agro alimentaire,SALAMI VIANDE 1/KG
29,Agro alimentaire,LOUNCHON POULET
30,Agro alimentaire,"Champignon HARA 2,4Kg F/6"
31,Agro alimentaire,Thon le Grand bleu 2kg C/6
32,Agro alimentaire,Thon Francisco 400gr C/12
33,Agro alimentaire,"Thon Marinara 1,8kg C/6"
34,Agro alimentaire,Tomate Hara 800g C/12
35,Agro alimentaire,Harissa Hara 760g C/12
36,Agro alimentaire,Harissa Teloise 760 g C/12
37,Agro alimentaire,"Mais 2,4 kg hara F/6"
38,Agro alimentaire,Mayounnaise LESIEUR 710 gr F/12
39,Agro alimentaire,"Mayounnaise LESIEUR 2,5 kg"
40,Agro alimentaire,Motard dijon 810gr F/6
41,Agro alimentaire,Ketchup DAILY 1L F/9
42,Agro alimentaire,Sauce PIZZA B4KG latina
43,Agro alimentaire,Ananas Tranches golden land820g F/12
44,Agro alimentaire,Huil Elio 5L
45,Agro alimentaire,Margarine Fleurial PLAQ500g C/16
46,Agro alimentaire,Margarine La belle 500 g C/24
47,Agro alimentaire,Margarine DIMA 500g C/24
48,Agro alimentaire,BEURRE STAR 200G C/20
49,Agro alimentaire,"Smane MORDJANE C/1,8 Kg C/4"
50,Agro alimentaire,Sucre Skor 1Kg F/10
51,Agro alimentaire,Sucre Roux Skor 1Kg F/10
52,Agro alimentaire,Sucre Skor Glace MORDJANE 1 Kg F/12
53,Agro alimentaire,Sucre Stick 8g BONAL B/200ps
54,Agro alimentaire,Farine Sim 1kg F/9
55,Agro alimentaire,Farine MAMA 25KG
56,Agro alimentaire,Farine MAMA T451kg
57,Agro alimentaire,Semoule Fine Sim 10 Kg
58,Agro alimentaire,Lentille Rouge 10Kg
59,Agro alimentaire,Lentille vert 10kg
60,Agro alimentaire,Pois Chiche N° 12 1Kg LA BELLE C/10
61,Agro alimentaire,Riz basmatti SAC 10Kg
62,Agro alimentaire,Frick EZZAD 800Kg C/10PS
63,Agro alimentaire,Raisin Sec 1kg
64,Agro alimentaire,Cacahuete BLANC1Kg
65,Agro alimentaire,Amande 1kg
66,Agro alimentaire,Amande Blanche 1kg
67,Agro alimentaire,Amande Effilée 1kg
68,Agro alimentaire,Noix 1kg
69,Agro alimentaire,Noix de cajou 1Kg
70,Agro alimentaire,Noix de coco 1Kg
71,Agro alimentaire,Noisette 1Kg
72,Agro alimentaire,Pistachio 1Kg
73,Agro alimentaire,Eau De Fleur PET 720ml casbah f/12
74,Agro alimentaire,SEL de cuisine ENASEL F/15
75,Agro alimentaire,Vinaigre Rouge Casbah F/12
76,Agro alimentaire,Vinaigre Blanc Casbah F/12
77,Agro alimentaire,Levure Chimique Nouara F/100
78,Agro alimentaire,levure Boulengerie SAF PLUS 500gr c/20
82,Agro alimentaire,BECARBONATTE SODA 1Kg EL FARES
84,Agro alimentaire,DIOULE EL AILA C/10*80
85,Agro alimentaire,the EL FERDOUAS
86,Agro alimentaire,THE EL RAKKI 125g F/8
87,Agro alimentaire,Jumbo 48 P
88,Agro alimentaire,Poivre Noire En Poudre 1KG EL FARES
89,Agro alimentaire,Poivre Blanc 1KG EL FARES
90,Agro alimentaire,Cannelle En Poudre 1KG EL FARES
91,Agro alimentaire,Cannelle Batonnes 1KG EL FARES
