N,Section,Designation
1,Nettoyage,Force Expresse (???? ??????)
2,Nettoyage,Lave Sol
3,Nettoyage,Lave Sol 5L
4,Nettoyage,Aigle Top Sols 1L
5,Nettoyage,Air Wick
6,Nettoyage,Anti Fourmis (???? ?????)
7,Nettoyage,Awane
8,Nettoyage,Balais
9,Nettoyage,Bassine Plastique
10,Nettoyage,Bavette
11,Nettoyage,Brosse
12,Nettoyage,Brosse Pelle + Manche
13,Nettoyage,Brosse WC
14,Nettoyage,Chaussures de Travail
15,Nettoyage,Chiffon Microfibre 40*40
16,Nettoyage,Chiffon Microfibre 50*70
17,Nettoyage,Chiffon Microfibre 60*40
18,Nettoyage,Chiffon Microfibre Glace
19,Nettoyage,Chifon Microfiber Meuble
20,Nettoyage,Corbeille
21,Nettoyage,Corbeille Plastique
22,Nettoyage,Désodorisant
23,Nettoyage,Détart-Actif (????)
24,Nettoyage,Détartrant Aigle
25,Nettoyage,Eau de Javel
26,Nettoyage,Egouttoire Vaisselle
27,Nettoyage,Eponge
28,Nettoyage,Esprit de Sel (??? ?????)
29,Nettoyage,Extrait Parfumerie
30,Nettoyage,Fix Manche
31,Nettoyage,Fly-Tox
32,Nettoyage,Frottoir Glace
33,Nettoyage,Frottoir Sol
34,Nettoyage,Gants Jetable
35,Nettoyage,Gants Ménage
36,Nettoyage,Gel Hydroalcoolique (???? ????)
37,Nettoyage,Kleen Anti-Calcaire
38,Nettoyage,Kleen Javel 5L
39,Nettoyage,Kleen Jel Javel
40,Nettoyage,Kleen Kitchen Pro
41,Nettoyage,Kleen Lave Main
42,Nettoyage,Kleen Lave Sol
43,Nettoyage,Kleen Liquide Vaisselle
44,Nettoyage,Lave Glace
45,Nettoyage,Lavette (Carré)
46,Nettoyage,Lavette (Inox)
47,Nettoyage,Lavette (Réctangulaire)
48,Nettoyage,Liquid Machine
49,Nettoyage,Liquide Vaisselle 5L
50,Nettoyage,Lorage Désodorisant
51,Nettoyage,Manche Balai-Frottoire
52,Nettoyage,Microfiber (????)
53,Nettoyage,Mop Magic
54,Nettoyage,Palc Desodorisant
55,Nettoyage,Papier Bureau Clinet
56,Nettoyage,Papier Essuie Mains
57,Nettoyage,Papier Essuie Tout
58,Nettoyage,Papier Hygiénique
59,Nettoyage,Rechange Mop Magic
60,Nettoyage,Sac Poubell 15 kg
61,Nettoyage,Sac Poubell 25 KG
62,Nettoyage,Sac Poubell Sonatrach GM
63,Nettoyage,Sac Poubell Sonatrach PM
64,Nettoyage,Sac Poubelle
65,Nettoyage,Sac Poubelle Noir GM
66,Nettoyage,Sanibon 1L
67,Nettoyage,Sanibon 5L
68,Nettoyage,Sashet Congelation
69,Nettoyage,Savon Liquide Lave Mains
70,Nettoyage,Seau Nettoyage GM
71,Nettoyage,Seau Nettoyage MM
72,Nettoyage,Seau Nettoyage PM
73,Nettoyage,Tenue Femme de Ménage
74,Nettoyage,Tete De Loup + Manche
75,Nettoyage,Vadrouille (????? ?????)
